date,description,amount
2024-07-02,Swiggy Food Delivery,520
2024-07-05,Amazon Prime Subscription,1499
2024-07-08,Uber Ride to Work,210
2024-07-10,Electricity Bill Payment,1850
2024-07-12,BigBasket Grocery,2800
2024-07-15,Zomato Dinner,680
2024-07-18,Flipkart Electronics,4500
2024-07-20,Petrol HP Station,1600
2024-07-22,PVR Movie Tickets,900
2024-07-25,DMart Shopping,3100
2024-07-28,Jio Mobile Recharge,599
2024-07-30,Restaurant Dinner,1250
2024-08-03,Swiggy Food Order,480
2024-08-06,Netflix Subscription,649
2024-08-09,Ola Cab Ride,320
2024-08-11,Water Bill Payment,450
2024-08-14,Reliance Fresh Grocery,2650
2024-08-17,Dominos Pizza,580
2024-08-19,Myntra Clothing,3200
2024-08-21,Indian Oil Petrol,1750
2024-08-24,BookMyShow Event,1200
2024-08-26,More Supermarket,2400
2024-08-29,Airtel Broadband,999
2024-09-01,Cafe Coffee Day,350
2024-09-04,Spotify Premium,119
2024-09-07,Rapido Bike Taxi,150
2024-09-10,Gas Cylinder Payment,950
2024-09-13,Nature Basket Organic,3500
2024-09-15,McDonalds Meal,420
2024-09-18,Amazon Shopping,5800
2024-09-20,Shell Petrol Pump,1550
2024-09-23,Gym Membership,2500
2024-09-25,Zepto Quick Commerce,1800
2024-09-28,Vi Mobile Recharge,449
2024-10-02,Starbucks Coffee,580
2024-10-05,Disney+ Hotstar,299
2024-10-08,Uber Auto,180
2024-10-11,Society Maintenance,3500
2024-10-14,Spar Hypermarket,2900
2024-10-16,KFC Chicken,650
2024-10-19,Croma Electronics,8500
2024-10-21,BPCL Petrol,1680
2024-10-24,Inox Cinema,850
2024-10-27,Star Bazaar,2200
2024-10-30,BSNL Landline,350
2024-11-01,Barbeque Nation,2200
2024-11-04,YouTube Premium,129
2024-11-07,Metro Ride,80
2024-11-10,Electricity BESCOM,2100
2024-11-13,Spencer's Retail,3100
2024-11-15,Pizza Hut,720
2024-11-18,Decathlon Sports,4200
2024-11-20,HP Petrol,1820
2024-11-23,Concert Tickets,3500
2024-11-26,Nilgiris Store,2600
2024-11-29,Tata Play DTH,450
2024-12-02,Haldirams Sweets,850
2024-12-05,Amazon Music,99
2024-12-08,Ola Share,120
2024-12-11,Piped Gas Bill,680
2024-12-14,Heritage Fresh,2750
2024-12-17,Subway Sandwich,380
2024-12-20,Lifestyle Shopping,6500
2024-12-22,Indian Oil,1900
2024-12-25,Christmas Party,4500
2024-12-28,Reliance Digital,9200
2024-12-31,New Year Celebration,5500
2025-01-03,Swiggy Instamart,1200
2025-01-06,Zee5 Subscription,499
2025-01-09,Namma Metro,60
