date,description,amount
2025-08-02,Swiggy Food Delivery,520
2025-08-05,Amazon Prime Subscription,1499
2025-08-08,Uber Ride to Work,210
2025-08-10,Electricity Bill Payment,1850
2025-08-12,BigBasket Grocery,2800
2025-08-15,Zomato Dinner,680
2025-08-18,Flipkart Electronics,4500
2025-08-20,Petrol HP Station,1600
2025-08-22,PVR Movie Tickets,900
2025-08-25,DMart Shopping,3100
2025-08-28,Jio Mobile Recharge,599
2025-09-03,Swiggy Food Order,480
2025-09-06,Netflix Subscription,649
2025-09-09,Ola Cab Ride,320
2025-09-11,Water Bill Payment,450
2025-09-14,Reliance Fresh Grocery,2650
2025-09-17,Dominos Pizza,580
2025-09-19,Myntra Clothing,3200
2025-09-21,Indian Oil Petrol,1750
2025-09-24,BookMyShow Event,1200
2025-09-26,More Supermarket,2400
2025-10-01,Cafe Coffee Day,350
2025-10-04,Spotify Premium,119
2025-10-07,Rapido Bike Taxi,150
2025-10-10,Gas Cylinder Payment,950
2025-10-13,Nature Basket Organic,3500
2025-10-15,McDonalds Meal,420
2025-10-18,Amazon Shopping,5800
2025-10-20,Shell Petrol Pump,1550
2025-10-23,Gym Membership,2500
2025-10-25,Zepto Quick Commerce,1800
2025-11-02,Starbucks Coffee,580
2025-11-05,Disney+ Hotstar,299
2025-11-08,Uber Auto,180
2025-11-11,Society Maintenance,3500
2025-11-14,Spar Hypermarket,2900
2025-11-16,KFC Chicken,650
2025-11-19,Croma Electronics,8500
2025-11-21,BPCL Petrol,1680
2025-11-24,Inox Cinema,850
2025-11-27,Star Bazaar,2200
2025-12-01,Barbeque Nation,2200
2025-12-04,YouTube Premium,129
2025-12-07,Metro Ride,80
2025-12-10,Electricity BESCOM,2100
2025-12-13,Spencer's Retail,3100
2025-12-15,Pizza Hut,720
2025-12-18,Decathlon Sports,4200
2025-12-20,HP Petrol,1820
2025-12-23,Concert Tickets,3500
2025-12-26,Nilgiris Store,2600
2025-12-29,Tata Play DTH,450
2026-01-02,Haldirams Sweets,850
2026-01-03,Amazon Music,99
2026-01-04,Ola Share,120
2026-01-05,Piped Gas Bill,680
2026-01-06,Heritage Fresh,2750
2026-01-07,Subway Sandwich,380
2026-01-08,Lifestyle Shopping,6500
2026-01-09,Indian Oil,1900
