date,description,amount
2025-08-01,Salary Credit August,85000
2025-08-03,Groww SIP - Axis Bluechip Fund Direct Growth,5000
2025-08-05,Swiggy Food Order,450
2025-08-07,Rent Payment,18000
2025-08-10,Zerodha - HDFC Top 100 Fund Purchase,10000
2025-08-12,Electricity Bill,1800
2025-08-15,Amazon Shopping,2300
2025-08-18,Paytm Money - Nifty 50 Index Fund SIP,3000
2025-08-20,Petrol Pump,2000
2025-08-25,Groww - Parag Parikh Flexi Cap Fund,5000
2025-09-01,Salary Credit September,85000
2025-09-03,Groww SIP - Axis Bluechip Fund Direct Growth,5000
2025-09-05,Zomato Order,380
2025-09-07,Rent Payment,18000
2025-09-10,Zerodha Coin - Mirae Asset Tax Saver ELSS,5000
2025-09-12,Mobile Recharge Jio,599
2025-09-15,Flipkart Purchase,3500
2025-09-18,Kuvera - UTI Nifty Index Fund Direct,4000
2025-09-20,Uber Cab,420
2025-09-22,Groww - SBI Small Cap Fund Direct,3000
2025-09-25,Netflix Subscription,649
2025-09-28,HDFC MF - HDFC Mid Cap Opportunities,5000
2025-10-01,Salary Credit October,88000
2025-10-03,Groww SIP - Axis Bluechip Fund Direct Growth,5000
2025-10-05,Swiggy Order,520
2025-10-07,Rent Payment,18000
2025-10-10,Upstox - Nippon India Nifty BeES ETF,8000
2025-10-12,Grocery BigBasket,2800
2025-10-15,Zerodha - ICICI Pru Bluechip Fund,7000
2025-10-18,ET Money - Kotak Flexi Cap Fund,4000
2025-10-20,Petrol Pump,2200
2025-10-22,Groww - Quant Tax Plan ELSS,5000
2025-10-25,Angel One - Stocks Purchase Reliance,15000
2025-10-28,Paytm Money - Gold Investment,5000
2025-11-01,Salary Credit November,88000
2025-11-03,Groww SIP - Axis Bluechip Fund Direct Growth,5000
2025-11-05,Zomato Order,450
2025-11-07,Rent Payment,18000
2025-11-10,Zerodha - DSP Midcap Fund Direct,6000
2025-11-12,Amazon Prime,1499
2025-11-15,5Paisa - HDFC Nifty 50 ETF,5000
2025-11-18,Groww - Motilal Oswal Nasdaq 100 Fund,8000
2025-11-20,Uber Ride,350
2025-11-22,PPF Contribution SBI,12500
2025-11-25,NPS Contribution,5000
2025-11-28,Axis Bank FD Fixed Deposit,50000
2025-12-01,Salary Credit December,90000
2025-12-03,Groww SIP - Axis Bluechip Fund Direct Growth,5000
2025-12-05,Swiggy Food,580
2025-12-07,Rent Payment,18000
2025-12-10,Zerodha - Tata Digital India Fund,4000
2025-12-12,Kotak MF - Kotak Emerging Equity Fund,6000
2025-12-15,Myntra Shopping,4500
2025-12-18,Groww - SBI Bluechip Fund Direct,5000
2025-12-20,Petrol,2400
2025-12-22,ICICI Prudential - Balanced Advantage Fund,8000
2025-12-25,Christmas Shopping Amazon,6000
2025-12-28,Groww - Nippon Small Cap Fund,4000
2026-01-01,Salary Credit January,90000
2026-01-03,Groww SIP - Axis Bluechip Fund Direct Growth,5000
2026-01-05,Zomato Order,420
2026-01-06,Rent Payment,18000
2026-01-07,Zerodha - Franklin India Prima Fund,5000
2026-01-08,Electricity Bill,2300
2026-01-09,Paytm Money - Aditya Birla Sun Life Tax Relief,5000
